..................The Test OutPut Data............

Sn=WS11209011619599,

TestTime=2020/11/09 20:47:49,

SaveTime=2020/11/09 20:47:50,

Voc=45.6200,

Isc=9.2660,

Rsh=1139.5588,

Rs=0.4610,

Pmax=330.7000,

Vm=38.2960,

Im=8.6350,

FF=78.2301,

EFF(cell)=18.6338,

EFF(Module)=16.6101,

Rank=330 WP I2

Current	 Voltage
9.2335	 5.6715

9.2343	 5.6787

9.2350	 5.6859

9.2358	 5.6931

9.2365	 5.7003

9.2373	 5.7075

9.2380	 5.7147

9.2388	 5.7219

9.2396	 5.7290

9.2403	 5.7362

9.2411	 5.7434

9.2418	 5.7506

9.2426	 5.7578

9.2433	 5.7650

9.2441	 5.7722

9.2448	 5.7794

9.2456	 5.7865

9.2464	 5.7937

9.2471	 5.8009

9.2479	 5.8081

9.2486	 5.8153

9.2494	 5.8225

9.2501	 5.8297

9.2509	 5.8369

9.2517	 5.8441

9.2524	 5.8512

9.2532	 5.8584

9.2539	 5.8656

9.2547	 5.8728

9.2554	 5.8800

9.2562	 5.8872

9.2570	 5.8944

9.2577	 5.9016

9.2585	 5.9088

9.2419	 5.9108

9.2420	 5.9175

9.2422	 5.9241

9.2423	 5.9308

9.2424	 5.9375

9.2426	 5.9442

9.2427	 5.9508

9.2428	 5.9575

9.2429	 5.9642

9.2431	 5.9709

9.2432	 5.9775

9.2433	 5.9842

9.2434	 5.9909

9.2436	 5.9976

9.2437	 6.0042

9.2438	 6.0109

9.2439	 6.0176

9.2441	 6.0243

9.2442	 6.0309

9.2443	 6.0376

9.2445	 6.0443

9.2446	 6.0510

9.2447	 6.0576

9.2448	 6.0643

9.2450	 6.0710

9.2451	 6.0776

9.2452	 6.0843

9.2453	 6.0910

9.2455	 6.0977

9.2456	 6.1043

9.2457	 6.1110

9.2459	 6.1177

9.2460	 6.1244

9.2461	 6.1310

9.2462	 6.1377

9.2464	 6.1444

9.2465	 6.1511

9.2466	 6.1577

9.2450	 6.1848

9.2452	 6.1902

9.2453	 6.1956

9.2455	 6.2010

9.2457	 6.2064

9.2459	 6.2119

9.2461	 6.2173

9.2462	 6.2227

9.2464	 6.2281

9.2466	 6.2335

9.2468	 6.2390

9.2469	 6.2444

9.2471	 6.2498

9.2473	 6.2552

9.2475	 6.2606

9.2476	 6.2660

9.2478	 6.2715

9.2480	 6.2769

9.2482	 6.2823

9.2484	 6.2877

9.2485	 6.2931

9.2487	 6.2985

9.2489	 6.3040

9.2491	 6.3094

9.2492	 6.3148

9.2494	 6.3202

9.2496	 6.3256

9.2498	 6.3311

9.2499	 6.3365

9.2501	 6.3419

9.2503	 6.3473

9.2505	 6.3527

9.2507	 6.3581

9.2508	 6.3636

9.2510	 6.3690

9.2512	 6.3744

9.2514	 6.3798

9.2515	 6.3852

9.2517	 6.3907

9.2519	 6.3961

9.2490	 6.4166

9.2485	 6.4232

9.2480	 6.4299

9.2475	 6.4365

9.2470	 6.4432

9.2465	 6.4498

9.2460	 6.4565

9.2455	 6.4631

9.2450	 6.4698

9.2445	 6.4764

9.2440	 6.4831

9.2435	 6.4897

9.2430	 6.4964

9.2425	 6.5030

9.2420	 6.5097

9.2415	 6.5163

9.2410	 6.5230

9.2405	 6.5296

9.2400	 6.5363

9.2395	 6.5429

9.2390	 6.5496

9.2385	 6.5562

9.2381	 6.5629

9.2376	 6.5695

9.2371	 6.5762

9.2366	 6.5828

9.2361	 6.5895

9.2356	 6.5961

9.2351	 6.6028

9.2346	 6.6094

9.2341	 6.6161

9.2336	 6.6227

9.2331	 6.6294

9.2326	 6.6360

9.2321	 6.6427

9.2316	 6.6493

9.2311	 6.6560

9.2306	 6.6626

9.2301	 6.6693

9.2296	 6.6759

9.2366	 6.7047

9.2368	 6.7107

9.2370	 6.7166

9.2373	 6.7226

9.2375	 6.7286

9.2377	 6.7346

9.2380	 6.7406

9.2382	 6.7465

9.2384	 6.7525

9.2386	 6.7585

9.2389	 6.7645

9.2391	 6.7705

9.2393	 6.7764

9.2396	 6.7824

9.2398	 6.7884

9.2400	 6.7944

9.2403	 6.8004

9.2405	 6.8064

9.2407	 6.8123

9.2409	 6.8183

9.2412	 6.8243

9.2414	 6.8303

9.2416	 6.8363

9.2419	 6.8422

9.2421	 6.8482

9.2423	 6.8542

9.2426	 6.8602

9.2428	 6.8662

9.2430	 6.8721

9.2433	 6.8781

9.2435	 6.8841

9.2437	 6.8901

9.2439	 6.8961

9.2442	 6.9021

9.2444	 6.9080

9.2446	 6.9140

9.2449	 6.9200

9.2451	 6.9260

9.2453	 6.9320

9.2456	 6.9379

9.2295	 6.9477

9.2301	 6.9545

9.2306	 6.9613

9.2311	 6.9681

9.2316	 6.9748

9.2321	 6.9816

9.2327	 6.9884

9.2332	 6.9952

9.2337	 7.0020

9.2342	 7.0088

9.2348	 7.0156

9.2353	 7.0224

9.2358	 7.0291

9.2363	 7.0359

9.2369	 7.0427

9.2374	 7.0495

9.2379	 7.0563

9.2384	 7.0631

9.2390	 7.0699

9.2395	 7.0767

9.2400	 7.0834

9.2405	 7.0902

9.2411	 7.0970

9.2416	 7.1038

